Read v2 code,Description
d11,chloral hydrate
d12,Clomethiazole Edisylate [Hypnotic]
d13,*dichloralphenazone
d14,*Flunitrazepam
d15,Flurazepam
d16,Loprazolam
d17,Lormetazepam
d18,Nitrazepam
d19,Promethazine Hcl [Hypnotic] See Section C8I..
d1a,Temazepam [Hypnotic]
d1b,*Triazolam
d1c,Triclofos Sodium
d1d,Zopiclone
d1e,*Glutethimide [No Drugs Here]
d1f,Zolpidem
d1g,Zaleplon
d1h,Melatonin
d21,Diazepam
d22,Alprazolam
d23,Bromazepam
d24,Chlordiazepoxide
d25,Chlormezanone
d26,Clobazam
d27,Clorazepate dipotassium
d28,Hydroxyzine
d29,*Ketazolam
d2a,Lorazepam 
d2b,*Medazepam
d2c,Meprobamate
d2d,Oxazepam
d2e,*Prazepam
d2f,Buspirone hydrochloride
d31,Barbiturates 
d32,*Methyprylone
dn4,Clonazepam
dn6,Methylphenobarbital
dnp,Pregabalin
dnj,Gabapentin
dnc,clobazam [epilepsy only]
,
