Read Code (CTV2),Description,Category
66590,Antidepressant drug treatment started                       ,Depression
1465.,H/O: depression,Depression
1B17.,Depressed,Depression
1B1U,Symptoms of depression ,Depression
1BQ..,Loss of capacity for enjoyment ,Depression
1BT..,Depressed mood ,Depression
1BU..    ,Loss of hope for the future,Depression
1JJ,Suspected depression,Depression
2257.,O/E - depressed,Depression
62T1.,Puerperal depression,Depression
6G00.,Postnatal depression counselling,Depression
8BK0.,Depression management programme ,Depression
8CAa.,Patient given advice about management of depression ,Depression
8HHq.,Referral for guided self-help for depression                ,Depression
9H90.,Depression annual review ,Depression
9H91.,Depression medication review ,Depression
9H92.,Depression interim review ,Depression
9HA0.,On depression register ,Depression
9kQ..,On full dose long term treatment depression - enh serv admin,Depression
9Ov..,Depression monitoring administration ,Depression
E02y3,Drug-induced depressive state                               ,Depression
E112.,Single major depressive episode,Depression
E113.,Recurrent major depressive episode,Depression
E118.,Seasonal affective disorder,Depression
E11y2,Atypical depressive disorder,Depression
E11z2,Masked depression                                           ,Depression
E130.,Reactive depressive psychosis                               ,Depression
E135.,Agitated depression                                         ,Depression
E2003,Anxiety with depression                                     ,Depression
E204.,Neurotic depression reactive type,Depression
E290.,Brief depressive reaction                                   ,Depression
E2900,Grief reaction,Depression
E290z,Brief depressive reaction NOS                               ,Depression
E291.,Prolonged depressive reaction                               ,Depression
E2B..,Depressive disorder NEC                                     ,Depression
E2B0.,Postviral depression                                        ,Depression
E2B1.,Chronic depression                                          ,Depression
Eu204,[X]Post-schizophrenic depression                            ,Depression
Eu251,"[X]Schizoaffective disorder, depressive type                ",Depression
Eu32.,[X]Depressive episode                                       ,Depression
Eu33.,[X]Recurrent depressive disorder                            ,Depression
Eu3y1,[X]Other recurrent mood affective disorders,Depression
Eu412,[X]Mixed anxiety and depressive disorder                    ,Depression
Eu530,[X] Mental and behaviour disorders assoc with the puerperium NEC,Depression
Eu920,[X]Depressive conduct disorder                              ,Depression
