Read Code (CTV2),Description,Category
1464,H/O: schizophrenia,Severe MH disorder
146H,H/O: psychosis,Severe MH disorder
1B1E,Hallucinations,Severe MH disorder
1BH,Delusions,Severe MH disorder
1S42,Manic mood,Severe MH disorder
212T,"Psychosis, schizophrenia + bipolar affective sidord resolved",Severe MH disorder
212V,Bipolar affective disorder resolved,Severe MH disorder
212W,Schizophrenia resolved,Severe MH disorder
212X,Psychosis resolved,Severe MH disorder
225E,O/E - paranoid delusions,Severe MH disorder
225F,O/E - delusion of persecution,Severe MH disorder
285,Psychotic condition; insight present,Severe MH disorder
286,Poor insight into psychotic condition,Severe MH disorder
8HHs,Referral to psychosis early intervention service,Severe MH disorder
E03,Transient organic psychoses,Severe MH disorder
E04,Other chronic organic psychoses,Severe MH disorder
E0y,Other specified organic psychoses,Severe MH disorder
E0z,Organic psychoses NOS,Severe MH disorder
E1…,Non-organic psychoses,Severe MH disorder
E10,Schizophrenic disorders,Severe MH disorder
E11..,Depressive psychoses,Severe MH disorder
E110,Manic disorder; single episode,Severe MH disorder
E111,Recurrent manic episodes,Severe MH disorder
E1124,"Single major depressive episode, severe, with psychosis",Severe MH disorder
E1134,"Recurrent major depressive episode, severe, with psychosis",Severe MH disorder
E114,Bipolar affective disorder; currently manic,Severe MH disorder
E115,Bipolar affective disorder; currently depressed,Severe MH disorder
E116,Mixed bipolar affective disorder,Severe MH disorder
E117,Unspecified bipolar affective disorder,Severe MH disorder
E11y,Other and unspecified manic-depressive psychoses,Severe MH disorder
E11z,Other and unspecified affective psychoses,Severe MH disorder
E12,Paranoid states,Severe MH disorder
E13,Other nonorganic psychoses,Severe MH disorder
E141,Residual disintegrative psychoses,Severe MH disorder
E14y,Other childhood psychoses,Severe MH disorder
E14z,Child psychosis NOS,Severe MH disorder
E1y,Other specified non-organic psychoses,Severe MH disorder
E1z,Non-organic psychosis NOS,Severe MH disorder
E2122,Schizotypal personality,Severe MH disorder
Eu0z,[X]Symptomatic psychosis NOS,Severe MH disorder
Eu04,"[X] Delirium, not induced by alcohol and other psychoactive substances",Severe MH disorder
Eu050,[X] Organic hallucinosis,Severe MH disorder
Eu052,[X] Organic delusional [schizophrenia-like] disorder,Severe MH disorder
Eu2,[X]Schizophrenia; schizotypal and delusional disorders,Severe MH disorder
Eu30,[X] Manic episode,Severe MH disorder
Eu31,Bipolar affective disorder ,Severe MH disorder
Eu323,[X]Severe depressive episode with psychotic symptoms,Severe MH disorder
Eu328,"[X]Major depression, severe with psychotic symptoms",Severe MH disorder
Eu332,"[X]Recurrent depressive disorder, current episode severe without psychotic symptoms",Severe MH disorder
Eu333,"[X]Recurrent depressive disorder, current episode severe with psychotic symptoms",Severe MH disorder
Eu3z,[X]Unspecified mood affective disorder,Severe MH disorder
Eu44,[X]Dissociative [conversion] disorders,Severe MH disorder
F481K,Visual hallucinations,Severe MH disorder
R001,[D]Hallucinations,Severe MH disorder
ZV110,[V]Personal history of schizophrenia,Severe MH disorder
,,
